trade_date,index_name,open_price,high_price,low_price,close_price,shares_traded,turnover_cr
2015-01-01,NIFTY 50,8272.8,8294.7,8248.75,8284,56560411,2321.88
2015-01-02,NIFTY 50,8288.7,8410.6,8288.7,8395.45,101887024,4715.72
2015-01-05,NIFTY 50,8407.95,8445.6,8363.9,8378.4,118160545,5525.52
2015-01-06,NIFTY 50,8325.3,8327.85,8111.35,8127.35,172799618,8089.19
2015-01-07,NIFTY 50,8118.65,8151.2,8065.45,8102.1,164075424,7464.33
2015-01-08,NIFTY 50,8191.4,8243.5,8167.3,8234.6,143802802,8147.4
2015-01-09,NIFTY 50,8285.45,8303.3,8190.8,8284.5,152612528,9305.95
2015-01-12,NIFTY 50,8291.35,8332.6,8245.6,8323,103153908,5437.76
2015-01-13,NIFTY 50,8346.15,8356.65,8267.9,8299.4,129561892,6499.2
2015-01-14,NIFTY 50,8307.25,8326.45,8236.65,8277.55,150621631,7020.91
2015-01-15,NIFTY 50,8424.5,8527.1,8380.55,8494.15,232138802,10725.62
2015-01-16,NIFTY 50,8504.05,8530.75,8452.25,8513.8,181365905,8690.54
2015-01-19,NIFTY 50,8550.05,8570.95,8531.5,8550.7,129346422,6292.59
2015-01-20,NIFTY 50,8575.1,8707.9,8574.5,8695.6,158713840,7838.19
2015-01-21,NIFTY 50,8719.65,8741.85,8689.6,8729.5,191651012,9735.99
2015-01-22,NIFTY 50,8745.85,8774.15,8727,8761.4,180912372,9025.95
2015-01-23,NIFTY 50,8827.95,8866.4,8795.4,8835.6,197124706,9716.57
2015-01-27,NIFTY 50,8871.35,8925.05,8825.45,8910.5,192010521,9988.36
2015-01-28,NIFTY 50,8902.75,8985.05,8874.05,8914.3,190805926,10313.46
2015-01-29,NIFTY 50,8901.5,8966.65,8861.25,8952.35,264245843,13427.54
2015-01-30,NIFTY 50,8996.6,8996.6,8775.1,8808.9,275587957,12385.18
2015-02-02,NIFTY 50,8802.5,8840.8,8751.1,8797.4,216556534,10430.34
2015-02-03,NIFTY 50,8823.15,8837.3,8726.65,8756.55,208672175,9888.1
2015-02-04,NIFTY 50,8789.15,8792.85,8704.4,8723.7,201252375,8707.82
2015-02-05,NIFTY 50,8733.1,8838.45,8683.65,8711.7,179008853,9126.1
2015-02-06,NIFTY 50,8696.85,8726.2,8645.55,8661.05,176554075,7912.1
2015-02-09,NIFTY 50,8584.4,8605.55,8516.35,8526.35,151329604,6863.17
2015-02-10,NIFTY 50,8478.1,8646.25,8470.5,8565.55,202294693,9965.76
2015-02-11,NIFTY 50,8603.3,8651.95,8593.65,8627.4,166560867,7602.46
2015-02-12,NIFTY 50,8676.95,8732.55,8599.25,8711.55,163681352,7669.87
2015-02-13,NIFTY 50,8741.5,8822.1,8729.65,8805.5,228807812,10248.41
